name,position
Wes Ward,Secretary of the Department of Agriculture
Mike Preston,Secretary of the Department of Commerce
Solomon Graves,Secretary of the Department of Corrections
Johnny Key,Secretary of the Department of Education
Becky Keogh,Secretary of the Department of Energy and Environment
Larry Walther,Secretary of the Department of Finance and Administration
"Renee Mallory, RN, BSN",Secretary of the Interim Secretary - Department of Health
Cindy Gillespie,Secretary of the Department of Human Services
Elizabeth Thomas Smith,Secretary of the Department of Inspector General
Daryl Bassett,Secretary of the Department of Labor and Licensing
Kendall W. Penn,Secretary of the Department of the Military
Stacy Hurst,"Secretary of the Department of Parks, Heritage, and Tourism"
Jami Cook,Secretary of the Department of Public Safety
Amy Fecher,Secretary of the Department of Transformation and Shared Services
Nate Todd,Secretary of the Department of Veterans Affairs
