wanted,position,positionid,from,start,end
Q59179676,Arkansas state representative,Q19681513,Q27662996,2015-01,2019-01
Q7626214,Arkansas state representative,Q19681513,Q20643217,2015-01,2019-01
Q19996387,Arkansas state representative,Q19681513,Q16186443,2013,2015-01
Q5336163,Arkansas state senator,Q21361754,Q16208748,2011-01-10,2013-01-15
Q16199836,Arkansas state senator,Q21361754,Q16729027,2011-01,2013-01-14
Q16213951,Arkansas state senator,Q21361754,Q5056387,2009-01-12,2013-01
Q16215788,Arkansas state representative,Q19681513,Q16208748,2009-01,2011-01-10
Q16216179,Arkansas state representative,Q19681513,Q16186443,2009-01,2013-01
Q16731387,Arkansas state representative,Q19681513,Q16186717,2009-01,2013-01-15
Q7344222,Arkansas state senator,Q21361754,Q16886050,2009-01,2013-01-14
Q16214890,Arkansas state representative,Q19681513,Q5056387,2003-01-13,2005-01-10
Q16887023,Arkansas state representative,Q19681513,Q16727985,2003-01,2009-01
Q361460,Attorney General,Q4112147,Q470755,1999-01-12,2003-01-03
Q16981957,Arkansas state representative,Q19681513,Q5056387,1999-01-11,2003-01-13
